"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"xdmSubmissionSet","xdmSubmissionSet","","","",0,*,"","","","null {[]} {[]}
","XDM SubmissionSet","Modèle logique d'un lot de soummission (SubmissionSet).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"xdmSubmissionSet.entryUUID","xdmSubmissionSet.entryUUID","","","",1,1,"","","","uuid {[]} {[]}
","Identifiant unique du lot de soumission. Cet attribut est destiné à des fins de gestion interne alors que uniqueId est utilisé à des fins de référence externe.","Identifiant unique du lot de soumission. Cet attribut est destiné à des fins de gestion interne alors que uniqueId est utilisé à des fins de référence externe.","","","","","","","","","",,,,,"",,,,"xdmSubmissionSet.entryUUID",1,1,"",""
"xdmSubmissionSet.availabilityStatus","xdmSubmissionSet.availabilityStatus","","","",1,1,"","","","code {[]} {[]}
","Cette métadonnée représente la pertinence d'un lot de soumission.","Cette métadonnée représente la pertinence d'un lot de soumission.","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""urn:oasis:names:tc:ebxml-regrep:StatusType:Approved""/>","","",,"required","","https://mos.esante.gouv.fr/NOS/JDV_J52-AvailabilityStatus-CISIS/FHIR/JDV-J52-AvailabilityStatus-CISIS|20200424120000","",,,,"xdmSubmissionSet.availabilityStatus",1,1,"",""
"xdmSubmissionSet.submissionTime","xdmSubmissionSet.submissionTime","","","",1,1,"","","","dateTime {[]} {[]}
","Représente la date et heure de soumission.","Représente la date et heure de soumission.","","","","","","","","","",,,,,"",,,,"xdmSubmissionSet.submissionTime",1,1,"",""
"xdmSubmissionSet.title","xdmSubmissionSet.title","","","",0,1,"","","","string {[]} {[]}
","Titre du lot de soumission","Titre du lot de soumission","","","","","","","","","",,,,,"",,,,"xdmSubmissionSet.title",0,1,"",""
"xdmSubmissionSet.comments","xdmSubmissionSet.comments","","","",0,1,"","","","string {[]} {[]}
","Cette métadonnée contient le commentaire associé au lot de soumission.","Cette métadonnée contient le commentaire associé au lot de soumission.","","","","","","","","","",,,,,"",,,,"xdmSubmissionSet.comments",0,1,"",""
"xdmSubmissionSet.patientID","xdmSubmissionSet.patientID","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/xdmPatientId {[]} {[]}
","Cette métadonnée contient l'identifiant du patient tel que connu par les interlocuteurs prenant part à l'échange. Le matricule INS (NIR ou NIA) du patient doit être utilisé en priorité. À défaut de disponibilité de l'INS, un autre identifiant (ex: IPP du système émetteur) peut être utilisé.","Cette métadonnée contient l'identifiant du patient tel que connu par les interlocuteurs prenant part à l'échange. Le matricule INS (NIR ou NIA) du patient doit être utilisé en priorité. À défaut de disponibilité de l'INS, un autre identifiant (ex: IPP du système émetteur) peut être utilisé.","","","","","","","","","",,,,,"",,,,"xdmSubmissionSet.patientID",1,1,"",""
"xdmSubmissionSet.sourceID","xdmSubmissionSet.sourceID","","","",1,1,"","","","oid {[]} {[]}
","Cette métadonnée représente l’identifiant unique global du système émetteur du lot de soumission","Cette métadonnée représente l’identifiant unique global du système émetteur du lot de soumission","","","","","","","","","",,,,,"",,,,"xdmSubmissionSet.sourceID",1,1,"",""
"xdmSubmissionSet.uniqueID","xdmSubmissionSet.uniqueID","","","",1,1,"","","","oid {[]} {[]}
","Identifiant unique global affecté à ce lot de soumission par son créateur. Cet attribut est utilisé à des fins de référence externe alors que entryUUID est destiné à des fins de gestion interne.","Identifiant unique global affecté à ce lot de soumission par son créateur. Cet attribut est utilisé à des fins de référence externe alors que entryUUID est destiné à des fins de gestion interne.","","","","","","","","","",,,,,"",,,,"xdmSubmissionSet.uniqueID",1,1,"",""
"xdmSubmissionSet.contentType","xdmSubmissionSet.contentType","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/xdmCode {[]} {[]}
","Ensemble de métadonnées représentant le type d’activité associé à l’événement clinique ayant abouti à la constitution du lot de soumission.","Ensemble de métadonnées représentant le type d’activité associé à l’événement clinique ayant abouti à la constitution du lot de soumission.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/JDV_J03-XdsContentTypeCode-CISIS/FHIR/JDV-J03-XdsContentTypeCode-CISIS|20260223120000","",,,,"xdmSubmissionSet.contentType",1,1,"",""
"xdmSubmissionSet.contentType.code","xdmSubmissionSet.contentType.code","","","",1,1,"","","","code {[]} {[]}
","contentTypeCode correspondant au type d’activité associé à l’événement ayant abouti à la 
constitution du lot de soumission.","Les valeurs possibles doivent être un code provenant du jeu de valeurs mis à disposition par le projet (exemple : JDV_J59_ContentTypeCode_DMP).
  En l’absence de spécifications complémentaires, le jeu de valeurs JDV_J03_XdsContentTypeCode_CISIS peut être utilisé. ","","","","","","","","","",,,,,"",,,,"xdmCode.code",1,1,"",""
"xdmSubmissionSet.contentType.displayName","xdmSubmissionSet.contentType.displayName","","","",1,1,"","","","string {[]} {[]}
","Libellé associé au contentTypeCode.","Libellé associé au code.","","","","","","","","","",,,,,"",,,,"xdmCode.displayName",1,1,"",""
"xdmSubmissionSet.contentType.codingScheme","xdmSubmissionSet.contentType.codingScheme","","","",1,1,"","","","oid {[]} {[]}
","OID du système de codage associé au code contentTypeCode.","OID du système de codage.","","","","","","","","","",,,,,"",,,,"xdmCode.codingScheme",1,1,"",""
"xdmSubmissionSet.author","xdmSubmissionSet.author","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/xdmAuthorSubmissionSet {[]} {[]}
","Représente la personne physique ou morale et/ou le dispositif auteur d’un lot de soumission","Représente la personne physique ou morale et/ou le dispositif auteur d’un lot de soumission","","","","","","","","","",,,,,"",,,,"xdmSubmissionSet.author",1,1,"",""
