"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"xdmCode","xdmCode","","","",0,*,"","","","null {[]} {[]}
","Code XDM","Type représentant un concept codé, constitué d'un code, de son libellé et de l'OID du système de codage, portés comme attributs XML. Il ne présente pas lui-même de valeur.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"xdmCode.code","xdmCode.code","","","",1,1,"","","","code {[]} {[]}
","Code de la valeur.","Code de la valeur.","","","","","","","","","",,,,,"",,,,"xdmCode.code",1,1,"",""
"xdmCode.displayName","xdmCode.displayName","","","",1,1,"","","","string {[]} {[]}
","Libellé associé au code.","Libellé associé au code.","","","","","","","","","",,,,,"",,,,"xdmCode.displayName",1,1,"",""
"xdmCode.codingScheme","xdmCode.codingScheme","","","",1,1,"","","","oid {[]} {[]}
","OID du système de codage.","OID du système de codage.","","","","","","","","","",,,,,"",,,,"xdmCode.codingScheme",1,1,"",""
