"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"xdmSourcePatientId","xdmSourcePatientId","","","",0,*,"","","","null {[]} {[]}
","XDM SourcePatientId","Cette métadonnée contient l’identifiant secondaire du patient dans le système d’information du producteur (IPP) ou l’INS, s’il n’y a pas d’identifiant secondaire. Pour les documents d’expression personnelle du patient, cette métadonnée contient l’INS du patient, à savoir le même identifiant que patientId. 

Cette métadonnée reprend la structure du segment CX  défini par  HL7v2  et  conformément aux spécifications  : 
- [Prise en Charge de l'INS dans les volets du CI-SIS ](https://esante.gouv.fr/annexe-prise-en-charge-de-lins-dans-les-volets-du-ci-sis)
- [Volet Partage de Documents de Santé](https://esante.gouv.fr/volet-partage-de-documents-de-sante)

","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"xdmSourcePatientId.cx1","xdmSourcePatientId.cx1","","","",1,1,"","","","string {[]} {[]}
","Identifiant secondaire du patient, en l’occurrence. Equivalent à PatientId s'il n'y a pas d'identifiant secondaire.","Identifiant secondaire du patient, en l’occurrence. Equivalent à PatientId s'il n'y a pas d'identifiant secondaire.","","","","","","","","","",,,,,"",,,,"xdmSourcePatientId.cx1",1,1,"",""
"xdmSourcePatientId.cx4","xdmSourcePatientId.cx4","","","",1,1,"","","","string {[]} {[]}
","Identifiant de l’autorité d’affectation de l'identifiant utilisé.","Cet identifiant, au format HL7 v.2.5 est constitué de trois sous-composants qui prennent les valeurs suivantes en fonction du type d'identifiant.
INS : Valeur de Namespace ID (IS) = Vide, pas de valeur | Valeur de Universal ID (ST) = OID de l’autorité d’affectation de l’INS utilisé, prise dans la liste des OID des autorités d'affectation des INS | Valeur de Universal ID type (ID) = ISO
Autre identifiant : Valeur de Namespace ID (IS) = Vide, pas de valeur | Valeur de Universal ID (ST) = OID de l’autorité d’affectation dl'identifiant (i.e. l'instituion qui a attribué cet identifiant) | Valeur de Universal ID type (ID) = ISO","","","","","","","","","",,,,,"",,,,"xdmSourcePatientId.cx4",1,1,"",""
"xdmSourcePatientId.cx5","xdmSourcePatientId.cx5","","","",1,1,"","","","string {[]} {[]}
","'NH' pour les patients identifiés par leur INS, 'PI' pour les patients identifiés par d'autres identifiants.","'NH' pour les patients identifiés par leur INS, 'PI' pour les patients identifiés par d'autres identifiants.","","","","","","","","","",,,,,"",,,,"xdmSourcePatientId.cx5",1,1,"",""
