"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: ActorXDSCDA"
"xdmActorPatient","xdmActorPatient","","","",0,*,"","","","null {[]} {[]}
","XDM ActorPatient","Cet attribut représente l'acteur Patient.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","ActorXDS"
"xdmActorPatient.XCN1","xdmActorPatient.XCN1","","","",1,1,"","","","string {[CanonicalType[https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/patId|0.1.0]]} {[]}
","Identifiant du patient. Le matricule INS du patient, tel que défini dans le cadre juridique, est à utiliser prioritairement. À défaut, un autre identifiant (ex : IPP du système émetteur) peut être utilisé.","Identifiant de l'acteur qui. Le format de l'identifiant doit respecter le datatype PatId, PSIdNat ou SystIdNat selon le type d'acteur","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""124018852493334""/>","","",,,,,"",,,,"xdmActorXdsCore.XCN1",1,1,"","","author/assignedAuthor/id@extension"
"xdmActorPatient.XCN2","xdmActorPatient.XCN2","","","",1,1,"","","","string {[]} {[]}
","Nom du patient","Nom d'exercice du professionnel, nom du patient, nom du système.","","","","","","","","","",,,,,"",,,,"xdmActorXdsCore.XCN2",1,1,"","","author/assignedAuthor/assignedPerson/name/family"
"xdmActorPatient.XCN3","xdmActorPatient.XCN3","","","",1,1,"","","","string {[]} {[]}
","Prénom du patient","Prénom usuel de la personne (par défaut le premier prénom), nom du modèle pour les dispositifs ou dénomination pour les autres systèmes.","","","","","","","","","",,,,,"",,,,"xdmActorXdsCore.XCN3",1,1,"","","author/assignedAuthor/assignedPerson/name/given"
"xdmActorPatient.XCN9","xdmActorPatient.XCN9","","","",1,1,"","","","Base {[]} {[]}
","Autorité d’affectation","Autorité d’affectation","","","","","","","","","",,,,,"",,,,"xdmActorXdsCore.XCN9",1,1,"","","NA"
"xdmActorPatient.XCN9.composant1","xdmActorPatient.XCN9.composant1","","","",0,0,"","","","string {[]} {[]}
","Vide, pas de valeur","Vide, pas de valeur","","","","","","","","","",,,,,"",,,,"xdmActorXdsCore.XCN9.composant1",0,0,"","","NA"
"xdmActorPatient.XCN9.composant2","xdmActorPatient.XCN9.composant2","","","",1,1,"","","","string {[]} {[]}
","Valeur de l'OID de l’autorité d’affectation de l’identifiant. Identifiant de l’autorité d’affectation de l'identifiant utilisé.","Cet identifiant, au format HL7 v.2.5 est constitué de trois sous-composants qui prennent les valeurs suivantes en fonction du type d'identifiant.
INS : Valeur de Namespace ID (IS) = Vide, pas de valeur | Valeur de Universal ID (ST) = OID de l’autorité d’affectation de l’INS utilisé, prise dans la liste des OID des autorités d'affectation des INS | Valeur de Universal ID type (ID) = ISO
Autre identifiant : Valeur de Namespace ID (IS) = Vide, pas de valeur | Valeur de Universal ID (ST) = OID de l’autorité d’affectation dl'identifiant (i.e. l'instituion qui a attribué cet identifiant) | Valeur de Universal ID type (ID) = ISO
","","","","","","","","","",,,,,"",,,,"xdmActorXdsCore.XCN9.composant2",1,1,"","","author/assignedAuthor/id@root"
"xdmActorPatient.XCN9.composant3","xdmActorPatient.XCN9.composant3","","","",1,1,"","","","string {[]} {[]}
","Valeur de Universal ID type (ID). Valeur fixée à 'ISO'","Valeur de Universal ID type (ID). Valeur fixée à 'ISO'","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""ISO""/>","","","",,,,,"",,,,"xdmActorXdsCore.XCN9.composant3",1,1,"","","NA"
"xdmActorPatient.XCN10","xdmActorPatient.XCN10","","","",1,1,"","","","code {[]} {[]}
","Type de nom : 'D' pour les personnes physiques, 'U', pour les systèmes.","Type de nom : 'D' pour les personnes physiques, 'U', pour les systèmes.","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""D""/>","","","",,,,,"",,,,"xdmActorXdsCore.XCN10",1,1,"","","NA"
"xdmActorPatient.XCN13","xdmActorPatient.XCN13","","","",1,1,"","","","code {[]} {[]}
","'NH' pour les patients identifiés par leur INS, 'PI' pour les patients identifiés par d'autres identifiants","Type d’identifiant","","","","","","","","","",,,,,"",,,,"xdmActorXdsCore.XCN13",1,1,"","TypeIdPatient:XCN.13 doit valoir 'NH' ou 'PI' {XCN13 = 'NH' or XCN13 = 'PI'}
","Valeur ne provenant pas de l’en-tête CDA"
