"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"pdlgc-readme","pdlgc-readme","","","",0,*,"","","","null {[]} {[]}
","PDLGC Readme","Informations éditoriales et instructions. Le socle du README.TXt est identique pour l'archive de portabilité, l'archive de données transverse et l'archive XDM Patient","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"pdlgc-readme.editeurSortant","pdlgc-readme.editeurSortant","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/pdlgc-fournisseur-sortant {[]} {[]}
","Editeur responsable de l'export des données LGC et application utilisée","Editeur responsable de l'export des données LGC et application utilisée","","","","","","","","","",,,,,"",,,,"pdlgc-readme.editeurSortant",1,1,"",""
"pdlgc-readme.instructions","pdlgc-readme.instructions","","","",1,1,"","","","string {[]} {[]}
","Instructions de lecture et intégration de l'archive de Portabilité","Instructions de lecture et intégration de l'archive de Portabilité","","","","","","","","","",,,,,"",,,,"pdlgc-readme.instructions",1,1,"",""
"pdlgc-readme.arborescence","pdlgc-readme.arborescence","","","",1,1,"","","","string {[]} {[]}
","description de la structure de l'archive de Portabilité","description de la structure de l'archive de Portabilité","","","","","","","","","",,,,,"",,,,"pdlgc-readme.arborescence",1,1,"",""
