"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: DocumentEntryCDA"
"xdm-document-entry","xdm-document-entry","","","",0,*,"","","","null {[]} {[]}
","XDM DocumentEntry","Modèle logique  d’une fiche","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","DocumentEntry"
"xdm-document-entry.entryUUID","xdm-document-entry.entryUUID","","","",1,1,"","","","uuid {[]} {[]}
","Identifiant unique affecté à la version de la fiche référençant le document.","Les valeurs possibles pour cette métadonnée doivent être un code provenant du jeu de valeurs mis à disposition par le projet. En l’absence de spécifications complémentaires, le jeu de valeurs JDV_J52_AvailabilityStatus_CISIS peut être utilisé.","","","","","","","","","",,,,,"",,,,"xdm-document-entry.entryUUID",1,1,"",""
"xdm-document-entry.logicalId","xdm-document-entry.logicalId","","","",1,1,"","","","uuid {[]} {[]}
","Cette métadonnée représente un identifiant invariable pour toutes les versions de la fiche d'un document, à la différence de la métadonnée entryUUID qui a une valeur différente pour chaque version de la fiche","Cette métadonnée représente un identifiant invariable pour toutes les versions de la fiche d'un document, à la différence de la métadonnée entryUUID qui a une valeur différente pour chaque version de la fiche","","","","","","","","","",,,,,"",,,,"xdm-document-entry.logicalId",1,1,"",""
"xdm-document-entry.mimeType","xdm-document-entry.mimeType","","","",1,1,"","","","string {[]} {[]}
","Cette métadonnée représente le type de contenu du document, défini par le standard MIME.","Cette métadonnée représente le type de contenu du document, défini par le standard MIME.","","","","","","","","","",,,,,"",,,,"xdm-document-entry.mimeType",1,1,"",""
"xdm-document-entry.availabilityStatus","xdm-document-entry.availabilityStatus","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Cette métadonnée représente la pertinence de la version de la fiche d'un document. ","**Availability Status**","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/JDV_J52-AvailabilityStatus-CISIS/FHIR/JDV-J52-AvailabilityStatus-CISIS|20200424120000","",,,,"xdm-document-entry.availabilityStatus",1,1,"","","Non applicable, cette métadonnée n'est pas soumise par le système initiateur. Le registre du système cible gère cette information et fournit sa valeur en réponse à une requête stockée."
"xdm-document-entry.hash","xdm-document-entry.hash","","","",1,1,"","","","string {[]} {[]}
","Cette métadonnée contient le résultat du hachage du document déposé","Cette métadonnée contient le résultat du hachage du document déposé","","","","","","","","","",,,,,"",,,,"xdm-document-entry.hash",1,1,"",""
"xdm-document-entry.size","xdm-document-entry.size","","","",1,1,"","","","integer {[]} {[]}
","Cette métadonnée correspond à la taille du document déposé.","Cette métadonnée correspond à la taille du document déposé.","","","","","","","","","",,,,,"",,,,"xdm-document-entry.size",1,1,"",""
"xdm-document-entry.languageCode","xdm-document-entry.languageCode","","","",1,1,"","","","string {[]} {[]}
","Cette métadonnée représente le code de la langue dans laquelle le document est rédigé.","Pour tous les documents produits système initiateur français : 'fr-FR'","","","","","","","","","",,,,,"",,,,"xdm-document-entry.languageCode",1,1,"",""
"xdm-document-entry.author","xdm-document-entry.author","","","",1,*,"","","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/xdm-author-document-entry {[]} {[]}
","Cette métadonnée représente les personnes physiques et/ou les systèmes (dispositifs, automates, services numériques référencés…) auteurs d’un document.","Cette métadonnée représente les personnes physiques et/ou les systèmes (dispositifs, automates, services numériques référencés…) auteurs d’un document.","","","","","","","","","",,,,,"",,,,"xdm-document-entry.author",1,*,"",""
"xdm-document-entry.legalAuthenticator[x]","xdm-document-entry.legalAuthenticator[x]","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/xdm-actor-ps {[]} {[]}
https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/xdm-actor-patient {[]} {[]}https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/xdm-actor-system {[]} {[]}","Cette métadonnée représente l'acteur prenant la responsabilité du contenu médical du document","XCN","","","","","","","","","",,,,,"",,,,"xdm-document-entry.legalAuthenticator[x]",1,1,"",""
