"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"pdlgcIndex","pdlgcIndex","","","",0,*,"","","","null {[]} {[]}
","PDLGC Index","L'INDEX.HTM est renferme des informations éditoriales et est conforme aux spécifications XHTML et Echanges de Documents de santé.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"pdlgcIndex.structIdNat","pdlgcIndex.structIdNat","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/structIdNat {[]} {[]}
","Identification nationale de l'Entité juridique initiée pour les besoins du SI-CPS.","Identification nationale de l'Entité juridique initiée pour les besoins du SI-CPS.","","","","","","","","","",,,,,"",,,,"pdlgcIndex.structIdNat",1,1,"",""
"pdlgcIndex.raisonSociale","pdlgcIndex.raisonSociale","","","",1,1,"","","","string {[]} {[]}
","La raison sociale est le nom de l'entité juridique.Elle figure obligatoirement dans les statuts de l'EJ.Synonyme: Dénomination.","La raison sociale est le nom de l'entité juridique.Elle figure obligatoirement dans les statuts de l'EJ.Synonyme: Dénomination.","","","","","","","","","",,,,,"",,,,"pdlgcIndex.raisonSociale",1,1,"",""
"pdlgcIndex.avertissement","pdlgcIndex.avertissement","","","",0,1,"","","","string {[]} {[]}
","avertissement optionnel de l'émetteur concernant la sécurité et la confidentialité.","avertissement optionnel de l'émetteur concernant la sécurité et la confidentialité.","","","","","","","","","",,,,,"",,,,"pdlgcIndex.avertissement",0,1,"",""
"pdlgcIndex.lienREADME","pdlgcIndex.lienREADME","","","",1,1,"","","","string {[]} {[]}
","lien vers le fichier README.TXT de l'archive XDM Patient.","lien vers le fichier README.TXT de l'archive XDM Patient.","","","","","","","","","",,,,,"",,,,"pdlgcIndex.lienREADME",1,1,"",""
