"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: ActorXDSCDA"
"xdmActorXds","xdmActorXds","","","",0,*,"","","","null {[]} {[]}
","XDM ActorXDS","Cet attribut représente un acteur (humain ou système) ayant contribué au document. Pour les documents d’expression personnelle du patient, cette métadonnée fait référence au patient. 

XCN de HL7 v2.5","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","ActorXDS"
"xdmActorXds.XCN1","xdmActorXds.XCN1","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/xdmIdentifiant {[]} {[]}
","Identifiant de l'acteur","Identifiant de l'acteur","","","","","","","","","",,,,,"",,,,"xdmActorXds.XCN1",1,1,"","","author/assignedAuthor/id@extension"
"xdmActorXds.XCN2","xdmActorXds.XCN2","","","",1,1,"","","","string {[]} {[]}
","Nom d'exercice du professionnel, nom du patient, nom du système.","Nom d'exercice du professionnel, nom du patient, nom du système.","","","","","","","","","",,,,,"",,,,"xdmActorXds.XCN2",1,1,"","","author/assignedAuthor/assignedPerson/name/family"
"xdmActorXds.XCN3","xdmActorXds.XCN3","","","",1,1,"","","","string {[]} {[]}
","Prénom usuel de la personne (par défaut le premier prénom), nom du modèle pour les dispositifs ou dénomination pour les autres systèmes.","Prénom usuel de la personne (par défaut le premier prénom), nom du modèle pour les dispositifs ou dénomination pour les autres systèmes.","","","","","","","","","",,,,,"",,,,"xdmActorXds.XCN3",1,1,"","","author/assignedAuthor/assignedPerson/name/given"
"xdmActorXds.XCN9","xdmActorXds.XCN9","","","",1,1,"","","","Base {[]} {[]}
","Autorité d’affectation","Autorité d’affectation","","","","","","","","","",,,,,"",,,,"xdmActorXds.XCN9",1,1,"","","NA"
"xdmActorXds.XCN9.composant1","xdmActorXds.XCN9.composant1","","","",0,0,"","","","string {[]} {[]}
","Vide, pas de valeur","Vide, pas de valeur","","","","","","","","","",,,,,"",,,,"xdmActorXds.XCN9.composant1",0,0,"","","NA"
"xdmActorXds.XCN9.composant2","xdmActorXds.XCN9.composant2","","","",1,1,"","","","string {[]} {[]}
","Valeur de Universal ID","Valeur de Universal ID","","","","","","","","","",,,,,"",,,,"xdmActorXds.XCN9.composant2",1,1,"","","author/assignedAuthor/id@root"
"xdmActorXds.XCN9.composant3","xdmActorXds.XCN9.composant3","","","",1,1,"","","","string {[]} {[]}
","Valeur de Universal ID type (ID)","Valeur de Universal ID type (ID)","","","","","","","","","",,,,,"",,,,"xdmActorXds.XCN9.composant3",1,1,"","","NA"
"xdmActorXds.XCN10","xdmActorXds.XCN10","","","",1,1,"","","","code {[]} {[]}
","Type de nom : Valeur en fonction de l’auteur :  D, pour les personnes physiques, -U, pour les systèmes.","Type de nom : Valeur en fonction de l’auteur :  D, pour les personnes physiques, -U, pour les systèmes.","","","","","","","","","",,,,,"",,,,"xdmActorXds.XCN10",1,1,"","","NA"
"xdmActorXds.XCN13","xdmActorXds.XCN13","","","",1,1,"","","","code {[]} {[]}
","Type d’identifiant","Type d’identifiant","","","","","","","","","",,,,,"",,,,"xdmActorXds.XCN13",1,1,"","","Valeur ne provenant pas de l’en-tête CDA"
