"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"pdlgcManifest","pdlgcManifest","","","",0,*,"","","","null {[]} {[]}
","PDLGC Manifest","Le fichier MANIFEST.XML porte les métadonnées globales de l'export (nombre de dossiers patients, volumétrie, éléments d'intégrité), distinctes des métadonnées XDM portées par chaque `METADATA.XML` patient","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"pdlgcManifest.exportId","pdlgcManifest.exportId","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant unique affecté à l'archive de portabilité","Identifiant unique affecté à l'archive de portabilité","","","","","","","","","",,,,,"",,,,"pdlgcManifest.exportId",1,1,"",""
"pdlgcManifest.exportType","pdlgcManifest.exportType","","","",1,1,"","","","code {[]} {[]}
","Type de l'export : UNITAIRE|CIBLE|MASSIF","Type de l'export : UNITAIRE|CIBLE|MASSIF","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/ValueSet/vs-pdlgc-export-type|0.1.0","",,,,"pdlgcManifest.exportType",1,1,"",""
"pdlgcManifest.exportStartTime","pdlgcManifest.exportStartTime","","","",0,1,"","","","dateTime {[]} {[]}
","Date de début de la période couverte par l'export dans le cas d'un export ciblé","Date de début de la période couverte par l'export dans le cas d'un export ciblé","","","","","","","","","",,,,,"",,,,"pdlgcManifest.exportStartTime",0,1,"",""
"pdlgcManifest.exportEndTime","pdlgcManifest.exportEndTime","","","",0,1,"","","","dateTime {[]} {[]}
","Date de fin de la période couverte par l'export dans le cas d'un export ciblé","Date de fin de la période couverte par l'export dans le cas d'un export ciblé","","","","","","","","","",,,,,"",,,,"pdlgcManifest.exportEndTime",0,1,"",""
"pdlgcManifest.exportStatus","pdlgcManifest.exportStatus","","","",1,1,"","","","code {[]} {[]}
","COMPLETE|PARTIAL|SAMPLE","COMPLETE|PARTIAL|SAMPLE","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/ValueSet/vs-pdlgc-export-status|0.1.0","",,,,"pdlgcManifest.exportStatus",1,1,"",""
"pdlgcManifest.comments","pdlgcManifest.comments","","","",0,1,"","","","string {[]} {[]}
","commentaire associé à l'export","commentaire associé à l'export","","","","","","","","","",,,,,"",,,,"pdlgcManifest.comments",0,1,"",""
"pdlgcManifest.sourceSystem","pdlgcManifest.sourceSystem","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/pdlgcSystem {[]} {[]}
","Logiciel responsable de la production et de l'export de l'archive de portabiltié","Logiciel responsable de la production et de l'export de l'archive de portabiltié","","","","","","","","","",,,,,"",,,,"pdlgcManifest.sourceSystem",1,1,"",""
"pdlgcManifest.statistics","pdlgcManifest.statistics","","","",1,1,"","","","BackboneElement {[]} {[]}
","Statistiques globales de l'archive","Statistiques globales de l'archive","","","","","","","","","",,,,,"",,,,"pdlgcManifest.statistics",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"pdlgcManifest.statistics.id","pdlgcManifest.statistics.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
