"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: ActorXDSCDA"
"xdmActorXdsCore","xdmActorXdsCore","","","",0,*,"","","","null {[]} {[]}
","XDM ActorXDS Core","Cet attribut représente un acteur (humain ou système) ayant contribué au document. Pour les documents d’expression personnelle du patient, cette métadonnée fait référence au patient. 

Type XCN de HL7 v2.5","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","ActorXDS"
"xdmActorXdsCore.XCN1","xdmActorXdsCore.XCN1","","","",1,1,"","","","string {[]} {[]}
","Identifiant de l'acteur qui. Le format de l'identifiant doit respecter le datatype PatId, PSIdNat ou SystIdNat selon le type d'acteur","Identifiant de l'acteur qui. Le format de l'identifiant doit respecter le datatype PatId, PSIdNat ou SystIdNat selon le type d'acteur","","","","","","","","","",,,,,"",,,,"xdmActorXdsCore.XCN1",1,1,"","","author/assignedAuthor/id@extension"
"xdmActorXdsCore.XCN2","xdmActorXdsCore.XCN2","","","",1,1,"","","","string {[]} {[]}
","Nom d'exercice du professionnel, nom du patient, nom du système.","Nom d'exercice du professionnel, nom du patient, nom du système.","","","","","","","","","",,,,,"",,,,"xdmActorXdsCore.XCN2",1,1,"","","author/assignedAuthor/assignedPerson/name/family"
"xdmActorXdsCore.XCN3","xdmActorXdsCore.XCN3","","","",1,1,"","","","string {[]} {[]}
","Prénom usuel de la personne (par défaut le premier prénom), nom du modèle pour les dispositifs ou dénomination pour les autres systèmes.","Prénom usuel de la personne (par défaut le premier prénom), nom du modèle pour les dispositifs ou dénomination pour les autres systèmes.","","","","","","","","","",,,,,"",,,,"xdmActorXdsCore.XCN3",1,1,"","","author/assignedAuthor/assignedPerson/name/given"
"xdmActorXdsCore.XCN9","xdmActorXdsCore.XCN9","","","",1,1,"","","","Base {[]} {[]}
","Autorité d’affectation","Autorité d’affectation","","","","","","","","","",,,,,"",,,,"xdmActorXdsCore.XCN9",1,1,"","","NA"
"xdmActorXdsCore.XCN9.composant1","xdmActorXdsCore.XCN9.composant1","","","",0,0,"","","","string {[]} {[]}
","Vide, pas de valeur","Vide, pas de valeur","","","","","","","","","",,,,,"",,,,"xdmActorXdsCore.XCN9.composant1",0,0,"","","NA"
"xdmActorXdsCore.XCN9.composant2","xdmActorXdsCore.XCN9.composant2","","","",1,1,"","","","string {[]} {[]}
","Valeur de Universal ID","Valeur de Universal ID","","","","","","","","","",,,,,"",,,,"xdmActorXdsCore.XCN9.composant2",1,1,"","","author/assignedAuthor/id@root"
"xdmActorXdsCore.XCN9.composant3","xdmActorXdsCore.XCN9.composant3","","","",1,1,"","","","string {[]} {[]}
","Valeur de Universal ID type (ID). Valeur fixée à 'ISO'","Valeur de Universal ID type (ID). Valeur fixée à 'ISO'","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""ISO""/>","","","",,,,,"",,,,"xdmActorXdsCore.XCN9.composant3",1,1,"","","NA"
"xdmActorXdsCore.XCN10","xdmActorXdsCore.XCN10","","","",1,1,"","","","code {[]} {[]}
","Type de nom : 'D' pour les personnes physiques, 'U', pour les systèmes.","Type de nom : 'D' pour les personnes physiques, 'U', pour les systèmes.","","","","","","","","","",,,,,"",,,,"xdmActorXdsCore.XCN10",1,1,"","","NA"
"xdmActorXdsCore.XCN13","xdmActorXdsCore.XCN13","","","",1,1,"","","","code {[]} {[]}
","Type d’identifiant","Type d’identifiant","","","","","","","","","",,,,,"",,,,"xdmActorXdsCore.XCN13",1,1,"","","Valeur ne provenant pas de l’en-tête CDA"
