"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"pdlgc-system","pdlgc-system","","","",0,*,"","","","null {[]} {[]}
","PDLGC System","Informations relatives au Logiciel de Gestion de Cabinet","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"pdlgc-system.LGCNom","pdlgc-system.LGCNom","","","",1,1,"","","","string {[]} {[]}
","Nom du logiciel","Nom du logiciel","","","","","","","","","",,,,,"",,,,"pdlgc-system.LGCNom",1,1,"",""
"pdlgc-system.LGCVersion","pdlgc-system.LGCVersion","","","",1,1,"","","","string {[]} {[]}
","Version du logiciel","Version du logiciel","","","","","","","","","",,,,,"",,,,"pdlgc-system.LGCVersion",1,1,"",""
"pdlgc-system.LGCIdentifiant","pdlgc-system.LGCIdentifiant","","","",0,1,"","","","Identifier {[]} {[]}
","Identifiant du logiciel","Identifiant du logiciel","","","","","","","","","",,,,,"",,,,"pdlgc-system.LGCIdentifiant",0,1,"",""
