"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"pdlgcReadme","pdlgcReadme","","","",0,*,"","","","null {[]} {[]}
","PDLGC Readme","Informations éditoriales et instructions. Le socle du README.TXt est identique pour l'archive de portabilité, l'archive de données transverse et l'archive XDM Patient","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"pdlgcReadme.editeurSortant","pdlgcReadme.editeurSortant","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/pdlgcFournisseurSortant {[]} {[]}
","Editeur responsable de l'export des données LGC et application utilisée","Editeur responsable de l'export des données LGC et application utilisée","","","","","","","","","",,,,,"",,,,"pdlgcReadme.editeurSortant",1,1,"",""
"pdlgcReadme.instructions","pdlgcReadme.instructions","","","",1,1,"","","","string {[]} {[]}
","Instructions de lecture et intégration de l'archive de Portabilité","Instructions de lecture et intégration de l'archive de Portabilité","","","","","","","","","",,,,,"",,,,"pdlgcReadme.instructions",1,1,"",""
"pdlgcReadme.arborescence","pdlgcReadme.arborescence","","","",1,1,"","","","string {[]} {[]}
","description de la structure de l'archive de Portabilité","description de la structure de l'archive de Portabilité","","","","","","","","","",,,,,"",,,,"pdlgcReadme.arborescence",1,1,"",""
