"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"pdlgc-archive-portabilite","pdlgc-archive-portabilite","","","",0,*,"","","","null {[]} {[]}
","L'archive de Portabilité est un conteneur structuré, regroupant l'ensemble des documents et données LGC exportées ainsi que les éléments de métadonnées, d'index et de documentation nécessaires à leur exploitation par le destinataire.","L'archive de Portabilité est un conteneur structuré, regroupant l'ensemble des documents et données LGC exportées ainsi que les éléments de métadonnées, d'index et de documentation nécessaires à leur exploitation par le destinataire.","Transaction ExportArchivePortabilite","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"pdlgc-archive-portabilite.INDEX","pdlgc-archive-portabilite.INDEX","","","",1,1,"Y","","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/pdlgc-index {[]} {[]}
","Navigation globale","Navigation globale","","","","","","","","","",,,,,"",,,,"pdlgc-archive-portabilite.INDEX",1,1,"",""
"pdlgc-archive-portabilite.MANIFEST","pdlgc-archive-portabilite.MANIFEST","","","",1,1,"Y","","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/pdlgc-manifest {[]} {[]}
","Rapport de volumétrie et d'intégrité","Rapport de volumétrie et d'intégrité","","","","","","","","","",,,,,"",,,,"pdlgc-archive-portabilite.MANIFEST",1,1,"",""
"pdlgc-archive-portabilite.TRANSV","pdlgc-archive-portabilite.TRANSV","","","",0,1,"Y","","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/pdlgc-repo-transverse {[]} {[]}
","Archive de données transverses liées au praticien ou au cabinet (agenda, données de comptabilité, logs d'accès,...)","Archive de données transverses liées au praticien ou au cabinet (agenda, données de comptabilité, logs d'accès,...)","","","","","","","","","",,,,,"",,,,"pdlgc-archive-portabilite.TRANSV",0,1,"",""
"pdlgc-archive-portabilite.PATXXX","pdlgc-archive-portabilite.PATXXX","","","",1,*,"Y","","","https://interop.esante.gouv.fr/ig/fhir/pdlgc/StructureDefinition/pdlgc-repo-patient {[]} {[]}
","Archive de données médicales liées au patient. Chaque patient est représenté par une archive distincte","Archive de données médicales liées au patient. Chaque patient est représenté par une archive distincte","","","","","","","","","",,,,,"",,,,"pdlgc-archive-portabilite.PATXXX",1,*,"",""
