"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"xdmreferenceId","xdmreferenceId","","","",0,*,"","","","null {[]} {[]}
","XDM referenceIdList","Modèle logique de referenceIdList.
Cette métadonnée contient une liste d'un ou plusieurs identifiant(s) d'objet(s) associé(s) au document.Liste d'éléments de type CX du standard HL7 v2.5.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"xdmreferenceId.cx1","xdmreferenceId.cx1","","","",1,1,"","","","string {[]} {[]}
","Identifiant de l'objet référencé","Identifiant de l'objet référencé","","","","","","","","","",,,,,"",,,,"xdmreferenceId.cx1",1,1,"",""
"xdmreferenceId.cx4","xdmreferenceId.cx4","","","",1,1,"","","","string {[]} {[]}
","Identifiant de l’organisme ayant attribué l’identifiant de l'objet référencé","Cet identifiant, au format HL7 v.2.5 est constitué de trois sous-composants qui prennent les valeurs suivantes.
Valeur de Namespace ID (IS) = Vide, pas de valeur | Valeur de Universal ID (ST) =  OID de l'organisme ayant attribué l’identifiant | Valeur de Universal ID type (ID) = ISO","","","","","","","","","",,,,,"",,,,"xdmreferenceId.cx4",1,1,"",""
"xdmreferenceId.cx5","xdmreferenceId.cx5","","","",1,1,"","","","code {[]} {[]}
","Type d’identifiant","Type d’identifiant","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/JDV_J197-XdsTypesIdentifiantsReferenceId-CISIS/FHIR/JDV-J197-XdsTypesIdentifiantsReferenceId-CISIS|20220624120000","",,,,"xdmreferenceId.cx5",1,1,"",""
