"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"document-entry-portabilite","document-entry-portabilite","","","",0,*,"","","","null {[]} {[]}
","DocumentEntry Portabilité (LM)","Modèle logique d'une fiche documentaire (DocumentEntry) dans le contexte portabilité LGC.
Adapté du DocumentEntry XDS pour les spécificités de l'archive XDM hors-ligne.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"document-entry-portabilite.entryUUID","document-entry-portabilite.entryUUID","","","",1,1,"","","","uuid {[]} {[]}
","Identifiant unique de la fiche document","Identifiant unique de la fiche document","","","","","","","","","",,,,,"",,,,"document-entry-portabilite.entryUUID",1,1,"",""
"document-entry-portabilite.URI","document-entry-portabilite.URI","","","",1,1,"","","","string {[]} {[]}
","Chemin relatif du fichier dans le SUBSET (ex: DOC00001.XML)","Métadonnée clé en mode XDM. Permet au destinataire de localiser le fichier
dans l'archive sans connexion à un registre.","","","","","","","","","",,,,,"",,,,"document-entry-portabilite.URI",1,1,"",""
"document-entry-portabilite.mimeType","document-entry-portabilite.mimeType","","","",1,1,"","","","string {[]} {[]}
","Type MIME du document (ex: text/xml, application/pdf)","Type MIME du document (ex: text/xml, application/pdf)","","","","","","","","","",,,,,"",,,,"document-entry-portabilite.mimeType",1,1,"",""
"document-entry-portabilite.hash","document-entry-portabilite.hash","","","",1,1,"","","","string {[]} {[]}
","Empreinte SHA-256 du fichier document","Empreinte SHA-256 du fichier document","","","","","","","","","",,,,,"",,,,"document-entry-portabilite.hash",1,1,"",""
"document-entry-portabilite.size","document-entry-portabilite.size","","","",1,1,"","","","unsignedInt {[]} {[]}
","Taille du fichier en octets","Taille du fichier en octets","","","","","","","","","",,,,,"",,,,"document-entry-portabilite.size",1,1,"",""
"document-entry-portabilite.languageCode","document-entry-portabilite.languageCode","","","",1,1,"","","","string {[]} {[]}
","Langue du document (ex: fr-FR)","Langue du document (ex: fr-FR)","","","","","","","","","",,,,,"",,,,"document-entry-portabilite.languageCode",1,1,"",""
"document-entry-portabilite.creationTime","document-entry-portabilite.creationTime","","","",1,1,"","","","dateTime {[]} {[]}
","Date et heure de création du document","Date et heure de création du document","","","","","","","","","",,,,,"",,,,"document-entry-portabilite.creationTime",1,1,"",""
"document-entry-portabilite.serviceStartTime","document-entry-portabilite.serviceStartTime","","","",1,1,"","","","dateTime {[]} {[]}
","Date de début de l'acte clinique de référence","Date de début de l'acte clinique de référence","","","","","","","","","",,,,,"",,,,"document-entry-portabilite.serviceStartTime",1,1,"",""
"document-entry-portabilite.serviceEndTime","document-entry-portabilite.serviceEndTime","","","",0,1,"","","","dateTime {[]} {[]}
","Date de fin de l'acte clinique (si connue)","Date de fin de l'acte clinique (si connue)","","","","","","","","","",,,,,"",,,,"document-entry-portabilite.serviceEndTime",0,1,"",""
"document-entry-portabilite.title","document-entry-portabilite.title","","","",1,1,"","","","string {[]} {[]}
","Titre du document","Titre du document","","","","","","","","","",,,,,"",,,,"document-entry-portabilite.title",1,1,"",""
